municipio,latitud,longitud
ADJUNTAS,18.176339576530605,-66.75390467346935
AGUADA,18.354697875806668,-67.16487228404586
AGUADILLA,18.446003235658328,-67.12070664153113
AGUAS BUENAS,18.250212414062496,-66.1274674375
AIBONITO,18.134780378640784,-66.2576817669903
ARECIBO,18.406770027055245,-66.6746095620995
ARROYO,18.004814833353343,-66.05713486753021
AÑASCO,18.28597081208932,-67.13654014423953
BARCELONETA,18.439291432436246,-66.55976192024151
BARRANQUITAS,18.2004841882353,-66.30919749411764
BAYAMON,18.356827549222807,-66.16442932642488
CABO ROJO,18.048102127664922,-67.15267722282682
CAGUAS,18.222951774193554,-66.04042855913983
CAMUY,18.42114424488359,-66.85389965006134
CANOVANAS,18.328436626436773,-65.89190316666668
CAROLINA,18.373370209019452,-65.96292252920063
CATAÑO,18.439391860073602,-66.1417337713022
CAYEY,18.114688258064508,-66.14903570506908
CEIBA,18.254975430411513,-65.68921997783694
CIALES,18.280693745945968,-66.52153350810813
CIDRA,18.171555085427144,-66.16909232160806
COAMO,18.106047203125,-66.36754232812497
COMERIO,18.21985698347108,-66.22278128925618
COROZAL,18.309496499999998,-66.32792923333334
CULEBRA,18.315109121875444,-65.29281622531994
DORADO,18.430427588585,-66.26827387605633
FAJARDO,18.312545976016665,-65.67406607264286
FLORIDA,18.371993964285718,-66.56166076785713
GUANICA,17.989675423624465,-66.91146060775075
GUAYAMA,18.025403246903156,-66.12931874760726
GUAYANILLA,18.053004634899974,-66.78560124821976
GUAYNABO,18.359824154639185,-66.11412526804119
GURABO,18.263728034722227,-65.9825632847222
HATILLO,18.425655897820263,-66.80485413400876
HORMIGUEROS,18.13831595945946,-67.10954636486485
HUMACAO,18.14471702591165,-65.81949525100079
ISABELA,18.436107198721125,-66.99487774135646
JAYUYA,18.214260860927155,-66.59384638410597
JUANA DIAZ,18.064598622009626,-66.50800765400201
JUNCOS,18.21085068387097,-65.91837232258065
LAJAS,18.025823185921563,-67.0471647635182
LARES,18.253179909090903,-66.8565040779221
LAS MARIAS,18.245854661971837,-66.99438845070422
LAS PIEDRAS,18.177752826666673,-65.87595171333334
LOIZA,18.421170410550218,-65.9000560695295
LUQUILLO,18.341256233442476,-65.73019024690286
MANATI,18.41760039316061,-66.49649552140679
MARICAO,18.168050114864876,-66.93718550675675
MAUNABO,18.027204949653733,-65.93358233582357
MAYAGUEZ,18.219673962423787,-67.11382886516198
MOCA,18.362892817073167,-67.08756600000004
MOROVIS,18.32396973958332,-66.4220521875
NAGUABO,18.229269387372117,-65.74295894313002
NARANJITO,18.282891554621862,-66.25662595798319
OROCOVIS,18.206252030150758,-66.4398912211055
PATILLAS,18.03506258782578,-66.01947995621295
PEÑUELAS,18.072834661497282,-66.72691156538315
PONCE,18.07701132368422,-66.61189376326695
QUEBRADILLAS,18.434968849413014,-66.92960872927142
RINCON,18.330738314279476,-67.21710429074258
RIO GRANDE,18.341776694033346,-65.8155397874032
SABANA GRANDE,18.086106428571426,-66.93597427777777
SALINAS,18.019368532373317,-66.24968921364265
SAN GERMAN,18.10669841975309,-67.05091556172837
SAN JUAN,18.38356765444301,-66.05465355245124
SAN LORENZO,18.15296788461539,-65.96949665865384
SAN SEBASTIAN,18.333187367924538,-66.9809170990566
SANTA ISABEL,17.998421871372436,-66.38537411518084
TOA ALTA,18.358293076271185,-66.2488114152542
TOA BAJA,18.428509000503976,-66.21153235281544
TRUJILLO ALTO,18.336242335664334,-65.99535798601401
UTUADO,18.253414506072886,-66.69029296356273
VEGA ALTA,18.398354075938734,-66.3390406815285
VEGA BAJA,18.412980608803768,-66.39810152860609
VIEQUES,18.121179617737834,-65.43603526192264
VILLALBA,18.13146891603053,-66.47105397709925
YABUCOA,18.07982593470525,-65.89798235037104
YAUCO,18.085493197148903,-66.86298840734858
